Feature,Hard,Easy,Diff
squared_weight,8210.449807692308,6221.080878859857,1989.3689288324513
weight_kg,86.45865384615385,76.05296912114015,10.4056847250137
height_cm,170.97820359281437,167.95586160108547,3.0223419917288936
bmi,29.67854488589217,26.95170211878236,2.726842767109808
age_decade,5.5225225225225225,6.079726651480637,-0.5572041289581149
is_elderly,0.2882882882882883,0.4479638009049774,-0.1596755126166891
current_smoker,0.265625,0.10743801652892562,0.15818698347107438
vkorc1_missing,0.38288288288288286,0.25565610859728505,0.1272267742855978
is_overweight,0.2972972972972973,0.18552036199095023,0.11177693530634708
valve_replacement,0.16666666666666666,0.2665589660743134,-0.09989229940764674
acetaminophen_or_paracetamol_tylenol,0.25842696629213485,0.18055555555555555,0.0778714107365793
atorvastatin_lipitor,0.15151515151515152,0.08354430379746836,0.06797084771768316
cyp2c9,1.8626126126126126,1.7975113122171946,0.06510130039541795
congestive_heart_failure_and_or_cardiomyopathy,0.23880597014925373,0.176,0.06280597014925374
hypertension,0.25225225225225223,0.19796380090497737,0.05428845134727486
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
pravastatin_pravachol,0.06,0.020512820512820513,0.03948717948717949
diabetes,0.14864864864864866,0.11199095022624435,0.03665769842240431
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
amiodarone,0.05855855855855856,0.08936651583710407,-0.030807957278545517
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
phenytoin_dilantin,0.030303030303030304,0.005141388174807198,0.025161642128223107
carbamazepine_tegretol,0.03,0.0076726342710997444,0.022327365728900254
lovastatin_mevacor,0.03,0.010282776349614395,0.019717223650385605
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
fluvastatin_lescol,0.020202020202020204,0.002570694087403599,0.017631326114616604
anti_fungal_azoles,0.02,0.002570694087403599,0.0174293059125964
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
hepatitis,0.018018018018018018,0.006787330316742082,0.011230687701275936
rifampin_or_rifampicin,0.010101010101010102,0.0,0.010101010101010102
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
amiodarone_cordarone,0.059880239520958084,0.0679304897314376,-0.008050250210479518
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.010101010101010102,0.002570694087403599,0.0075303160136065035
aspirin,0.20270270270270271,0.19570135746606335,0.007001345236639367
stroke,0.04054054054054054,0.04751131221719457,-0.006970771676654025
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
simvastatin_zocor,0.14838709677419354,0.15307820299500832,-0.004691106220814784
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
rosuvastatin_crestor,0.01,0.007712082262210797,0.0022879177377892034
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.010101010101010102,0.010282776349614395,-0.00018176624860429327
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
