Feature,Hard,Easy,Diff
squared_weight,8150.788990384616,6235.818942992875,1914.970047391741
weight_kg,86.11298076923077,76.13836104513064,9.974619724100137
height_cm,171.03070588235295,167.93134877384196,3.0993571085109863
bmi,29.505124520168657,26.98020784275286,2.5249166774157956
age_decade,5.545045045045045,6.074031890660592,-0.5289868456155471
is_elderly,0.28378378378378377,0.4490950226244344,-0.16531123884065063
current_smoker,0.24427480916030533,0.11226611226611227,0.13200869689419306
vkorc1_missing,0.38288288288288286,0.25565610859728505,0.1272267742855978
is_overweight,0.2927927927927928,0.18665158371040724,0.10614120908238556
acetaminophen_or_paracetamol_tylenol,0.26666666666666666,0.17827298050139276,0.0883936861652739
valve_replacement,0.17692307692307693,0.26504065040650404,-0.08811757348342711
congestive_heart_failure_and_or_cardiomyopathy,0.2446043165467626,0.17419354838709677,0.07041076815966582
hypertension,0.26126126126126126,0.19570135746606335,0.06555990379519791
azole,0.0945945945945946,0.04072398190045249,0.05387061269414211
cyp2c9,1.8536036036036037,1.7997737556561086,0.05382984794749501
diabetes,0.15765765765765766,0.10972850678733032,0.04792915087032734
pravastatin_pravachol,0.05714285714285714,0.02077922077922078,0.03636363636363636
atorvastatin_lipitor,0.125,0.08974358974358974,0.035256410256410256
aspirin,0.22522522522522523,0.19004524886877827,0.03517997635644696
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
enoxaparin,0.04054054054054054,0.007918552036199095,0.03262198850434145
lovastatin_mevacor,0.0380952380952381,0.0078125,0.0302827380952381
amiodarone,0.06306306306306306,0.08823529411764706,-0.025172231054584007
dipyridamole,0.04054054054054054,0.01583710407239819,0.024703436468142353
phenytoin_dilantin,0.028846153846153848,0.005208333333333333,0.023637820512820516
fluvastatin_lescol,0.019230769230769232,0.0026041666666666665,0.016626602564102564
anti_fungal_azoles,0.01904761904761905,0.0026041666666666665,0.01644345238095238
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
rosuvastatin_crestor,0.01904761904761905,0.005208333333333333,0.013839285714285717
atorvastatin,0.02702702702702703,0.04072398190045249,-0.013696954873425461
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
hepatitis,0.018018018018018018,0.006787330316742082,0.011230687701275936
rifampin_or_rifampicin,0.009615384615384616,0.0,0.009615384615384616
carbamazepine_tegretol,0.019230769230769232,0.0103359173126615,0.008894851918107733
clopidogrel,0.0,0.007918552036199095,-0.007918552036199095
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.009615384615384616,0.0026041666666666665,0.00701121794871795
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
fluvastatin,0.009009009009009009,0.0022624434389140274,0.006746565570094981
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rosuvastatin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
amiodarone_cordarone,0.06395348837209303,0.06687898089171974,-0.0029254925196267184
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
simvastatin_zocor,0.1509433962264151,0.152428810720268,-0.0014854144938529212
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.009615384615384616,0.010416666666666666,-0.0008012820512820502
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
