Feature,Hard,Easy,Diff
weight_kg,85.50813397129185,76.2768133174792,9.23132065381266
height_cm,171.14621301775148,167.90900680272108,3.2372062150303975
bmi,29.3541249129471,27.018003529706558,2.336121383240542
age_decade,5.463963963963964,6.094533029612756,-0.6305690656487917
current_smoker,0.28125,0.10330578512396695,0.17794421487603307
valve_replacement,0.19083969465648856,0.26221498371335505,-0.07137528905686649
congestive_heart_failure_and_or_cardiomyopathy,0.23741007194244604,0.17580645161290323,0.06160362032954281
atorvastatin_lipitor,0.14,0.08629441624365482,0.053705583756345196
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
cyp2c9,1.8490990990990992,1.8009049773755657,0.048194121723533545
acetaminophen_or_paracetamol_tylenol,0.23333333333333334,0.18662952646239556,0.04670380687093778
diabetes,0.15315315315315314,0.11085972850678733,0.04229342464636582
simvastatin,0.09009009009009009,0.12895927601809956,-0.038869185928009475
pravastatin_pravachol,0.0594059405940594,0.02056555269922879,0.038840387894830616
hypertension,0.23423423423423423,0.20248868778280543,0.0317455464514288
stroke,0.02252252252252252,0.05203619909502263,-0.029513676572500105
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
phenytoin_dilantin,0.03,0.005154639175257732,0.024845360824742268
carbamazepine_tegretol,0.0297029702970297,0.007692307692307693,0.02201066260472201
amiodarone,0.06756756756756757,0.08710407239819004,-0.01953650483062247
lovastatin_mevacor,0.0297029702970297,0.010309278350515464,0.01939369194651424
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
fluvastatin_lescol,0.02,0.002577319587628866,0.017422680412371133
anti_fungal_azoles,0.019801980198019802,0.002577319587628866,0.017224660610390935
dipyridamole,0.03153153153153153,0.01809954751131222,0.01343198402021931
phenytoin,0.013513513513513514,0.003393665158371041,0.010119848355142473
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluoxetine,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.01,0.002577319587628866,0.007422680412371135
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
aspirin,0.19369369369369369,0.19796380090497737,-0.00427010721128368
anemia,0.0,0.003393665158371041,-0.003393665158371041
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
rifampin_or_rifampicin,0.0,0.002577319587628866,-0.002577319587628866
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
paroxetin,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
ezetimibe,0.0,0.0022624434389140274,-0.0022624434389140274
rosuvastatin_crestor,0.009900990099009901,0.007731958762886598,0.002169031336123303
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
amiodarone_cordarone,0.06547619047619048,0.06645569620253164,-0.0009795057263411594
simvastatin_zocor,0.15286624203821655,0.15191986644407346,0.0009463755941430951
sulfonamide_antibiotics,0.01,0.010309278350515464,-0.0003092783505154635
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
heart_valve_replacement,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
