Feature,Hard,Easy,Diff
weight_kg,85.89471153846154,76.19228028503562,9.702431253425914
height_cm,171.0210119047619,167.94198369565217,3.0790282091097367
bmi,29.383042749613598,27.014672036318412,2.3683707132951852
age_decade,5.54954954954955,6.072892938496583,-0.5233433889470334
current_smoker,0.2558139534883721,0.10973084886128365,0.14608310462708846
cyp2c9,1.8716216216216217,1.7952488687782806,0.07637275284334111
congestive_heart_failure_and_or_cardiomyopathy,0.24647887323943662,0.17341977309562398,0.07305910014381264
hypertension,0.26126126126126126,0.19570135746606335,0.06555990379519791
acetaminophen_or_paracetamol_tylenol,0.24731182795698925,0.18258426966292135,0.0647275582940679
atorvastatin_lipitor,0.14423076923076922,0.08461538461538462,0.0596153846153846
valve_replacement,0.20149253731343283,0.2602291325695581,-0.05873659525612526
azole,0.08558558558558559,0.042986425339366516,0.04259916024621907
diabetes,0.14864864864864866,0.11199095022624435,0.03665769842240431
pravastatin_pravachol,0.05714285714285714,0.02077922077922078,0.03636363636363636
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
enoxaparin,0.04054054054054054,0.007918552036199095,0.03262198850434145
amiodarone,0.05855855855855856,0.08936651583710407,-0.030807957278545517
phenytoin_dilantin,0.028846153846153848,0.005208333333333333,0.023637820512820516
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
aspirin,0.21171171171171171,0.19343891402714933,0.018272797684562386
lovastatin_mevacor,0.02857142857142857,0.010416666666666666,0.018154761904761903
fluvastatin_lescol,0.019230769230769232,0.0026041666666666665,0.016626602564102564
anti_fungal_azoles,0.01904761904761905,0.0026041666666666665,0.01644345238095238
rosuvastatin_crestor,0.01904761904761905,0.005208333333333333,0.013839285714285717
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
phenytoin,0.013513513513513514,0.003393665158371041,0.010119848355142473
amiodarone_cordarone,0.05847953216374269,0.06836248012718601,-0.009882947963443328
rifampin_or_rifampicin,0.009615384615384616,0.0,0.009615384615384616
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
carbamazepine_tegretol,0.019230769230769232,0.0103359173126615,0.008894851918107733
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.009615384615384616,0.0026041666666666665,0.00701121794871795
fluvastatin,0.009009009009009009,0.0022624434389140274,0.006746565570094981
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
rosuvastatin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
simvastatin_zocor,0.15384615384615385,0.15166666666666667,0.002179487179487183
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.009615384615384616,0.010416666666666666,-0.0008012820512820502
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
heart_valve_replacement,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
