Feature,Hard,Easy,Diff
height_cm,128.4299099099099,140.07397058823528,-11.644060678325388
weight_kg,81.33693693693695,72.35656108597286,8.980375850964094
age_decade,5.554054054054054,6.030542986425339,-0.47648893237128487
vkorc1_missing,0.3918918918918919,0.25339366515837103,0.13849822673352086
cyp2c9,0.2702702702702703,0.4061085972850679,-0.1358383270147976
current_smoker,0.14864864864864866,0.05995475113122172,0.08869389751742693
valve_replacement,0.11261261261261261,0.18212669683257918,-0.06951408421996656
hypertension,0.24774774774774774,0.19909502262443438,0.04865272512331337
azole,0.08108108108108109,0.04411764705882353,0.03696343402225755
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
diabetes,0.14414414414414414,0.11312217194570136,0.031021972198442785
amiodarone,0.05855855855855856,0.08936651583710407,-0.030807957278545517
atorvastatin_lipitor,0.06756756756756757,0.03733031674208145,0.030237250825486124
acetaminophen_or_paracetamol_tylenol,0.1036036036036036,0.07352941176470588,0.030074191838897715
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
stroke,0.02702702702702703,0.05090497737556561,-0.023877950348538582
congestive_heart_failure_and_or_cardiomyopathy,0.14414414414414414,0.1244343891402715,0.019709755003872648
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
pravastatin_pravachol,0.02702702702702703,0.00904977375565611,0.017977253271370917
phenytoin_dilantin,0.013513513513513514,0.0022624434389140274,0.011251070074599486
phenytoin,0.013513513513513514,0.003393665158371041,0.010119848355142473
lovastatin_mevacor,0.013513513513513514,0.004524886877828055,0.008988626635685459
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluvastatin_lescol,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluoxetine,0.009009009009009009,0.0011312217194570137,0.007877787289551996
antifungal_azoles,0.009009009009009009,0.0011312217194570137,0.007877787289551996
aspirin,0.20270270270270271,0.19570135746606335,0.007001345236639367
fluvastatin,0.009009009009009009,0.0022624434389140274,0.006746565570094981
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
ibuprofen,0.0045045045045045045,0.010180995475113122,-0.005676490970608618
simvastatin_zocor,0.10810810810810811,0.10294117647058823,0.005166931637519884
rifampin_or_rifampicin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
carbamazepine_tegretol,0.009009009009009009,0.004524886877828055,0.004484122131180954
amiodarone_cordarone,0.04504504504504504,0.048642533936651584,-0.0035974888916065415
anemia,0.0,0.003393665158371041,-0.003393665158371041
macrolide_antibiotics,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
ezetimibe,0.0,0.0022624434389140274,-0.0022624434389140274
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
rosuvastatin_crestor,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
sulfonamide_antibiotics,0.0045045045045045045,0.004524886877828055,-2.0382373323550237e-05
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
st.johns_wort,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cyp2c9_missing,0.0,0.0,0.0
