Feature,Hard,Easy,Diff
weight_kg,86.35528846153845,76.07850356294537,10.276784898593078
height_cm,171.0927976190476,167.92559782608694,3.167199792960645
bmi,29.58446495577335,26.969207379661285,2.6152575761120644
age_decade,5.603603603603603,6.0592255125284735,-0.4556219089248703
current_smoker,0.24806201550387597,0.11180124223602485,0.13626077326785113
valve_replacement,0.18604651162790697,0.262987012987013,-0.07694050135910602
acetaminophen_or_paracetamol_tylenol,0.25555555555555554,0.181058495821727,0.07449705973382853
congestive_heart_failure_and_or_cardiomyopathy,0.2463768115942029,0.17391304347826086,0.07246376811594205
cyp2c9,1.864864864864865,1.7969457013574661,0.0679191635073988
hypertension,0.25675675675675674,0.19683257918552036,0.05992417757123639
atorvastatin_lipitor,0.13861386138613863,0.08651399491094147,0.052099866475197154
diabetes,0.15315315315315314,0.11085972850678733,0.04229342464636582
pravastatin_pravachol,0.058823529411764705,0.020618556701030927,0.03820497271073378
azole,0.08108108108108109,0.04411764705882353,0.03696343402225755
lovastatin_mevacor,0.0392156862745098,0.007751937984496124,0.03146374829001368
simvastatin,0.0990990990990991,0.12669683257918551,-0.027597733480086414
phenytoin_dilantin,0.0297029702970297,0.00516795865633075,0.02453501164069895
enoxaparin,0.03153153153153153,0.010180995475113122,0.021350536056418408
simvastatin_zocor,0.16774193548387098,0.1480865224625624,0.019655413021308576
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
fluvastatin_lescol,0.019801980198019802,0.002583979328165375,0.01721800086985443
anti_fungal_azoles,0.0196078431372549,0.002583979328165375,0.017023863809089528
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
amiodarone_cordarone,0.07738095238095238,0.06329113924050633,0.01408981314044605
amiodarone,0.07207207207207207,0.08597285067873303,-0.01390077860666096
aspirin,0.2072072072072072,0.19457013574660634,0.012637071460600863
phenytoin,0.013513513513513514,0.003393665158371041,0.010119848355142473
rifampin_or_rifampicin,0.009900990099009901,0.0,0.009900990099009901
carbamazepine_tegretol,0.019801980198019802,0.010256410256410256,0.009545569941609546
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.009900990099009901,0.002583979328165375,0.007317010770844526
stroke,0.04054054054054054,0.04751131221719457,-0.006970771676654025
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin_crestor,0.00980392156862745,0.007751937984496124,0.002051983584131327
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.009900990099009901,0.0103359173126615,-0.00043492721365159803
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
