Feature,Hard,Easy,Diff
weight_kg,85.14170616113745,76.0912426035503,9.05046355758715
bmi,29.791928110454677,26.754253474861052,3.037674635593625
height_cm,170.5858333333333,167.87072602739727,2.715107305936044
age_decade,5.324324324324325,5.996598639455782,-0.6722743151314576
acetaminophen_or_paracetamol_tylenol,0.30927835051546393,0.19207317073170732,0.11720517978375661
current_smoker,0.24444444444444444,0.14522821576763487,0.09921622867680957
azole,0.10810810810810811,0.03959276018099547,0.06851534792711264
cyp2c9,1.8333333333333333,1.785633484162896,0.047699849170437236
valve_replacement,0.22556390977443608,0.27121464226289516,-0.04565073248845908
cancer,0.07657657657657657,0.03959276018099547,0.0369838163955811
diabetes,0.20930232558139536,0.17494600431965443,0.03435632126174093
phenytoin,0.036036036036036036,0.003393665158371041,0.03264237087766499
simvastatin,0.15315315315315314,0.1244343891402715,0.028718764012881648
hypertension,0.22972972972972974,0.2081447963800905,0.021584933349639235
congestive_heart_failure_and_or_cardiomyopathy,0.15492957746478872,0.17540983606557378,-0.020480258600785062
anti_fungal_azoles,0.02830188679245283,0.00821917808219178,0.02008270871026105
amiodarone,0.06306306306306306,0.08144796380090498,-0.018384900737841922
aspirin,0.22085889570552147,0.2322357019064125,-0.011376806200891015
stroke,0.036036036036036036,0.04411764705882353,-0.008081611022787497
sulfonamide_antibiotics,0.0,0.005479452054794521,-0.005479452054794521
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
fluconazole,0.0045045045045045045,0.0,0.0045045045045045045
carbamazepine,0.009009009009009009,0.004524886877828055,0.004484122131180954
macrolide_antibiotics,0.0,0.0027397260273972603,-0.0027397260273972603
ibuprofen,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
heart_valve_replacement,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
