Feature,Hard,Easy,Diff
height_cm,129.88954954954954,139.70740950226244,-9.817859952712894
weight_kg,80.74549549549549,72.50509049773756,8.240404997757935
age_decade,5.5225225225225225,6.038461538461538,-0.5159390159390158
cyp2c9_score,0.2927927927927928,0.4004524886877828,-0.10765969589499003
current_smoker,0.14414414414414414,0.06108597285067873,0.0830581712934654
valve_replacement,0.11261261261261261,0.18212669683257918,-0.06951408421996656
hypertension,0.23873873873873874,0.20135746606334842,0.03738127267539032
azole,0.08108108108108109,0.04411764705882353,0.03696343402225755
congestive_heart_failure_and_or_cardiomyopathy,0.15765765765765766,0.12104072398190045,0.036616933675757204
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
diabetes,0.14414414414414414,0.11312217194570136,0.031021972198442785
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
amiodarone,0.06306306306306306,0.08823529411764706,-0.025172231054584007
atorvastatin_lipitor,0.06306306306306306,0.038461538461538464,0.024601524601524594
acetaminophen_or_paracetamol_tylenol,0.0990990990990991,0.0746606334841629,0.024438465614936206
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
pravastatin_pravachol,0.02702702702702703,0.00904977375565611,0.017977253271370917
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
lovastatin_mevacor,0.018018018018018018,0.003393665158371041,0.014624352859646977
phenytoin_dilantin,0.013513513513513514,0.0022624434389140274,0.011251070074599486
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
antifungal_azoles,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluvastatin_lescol,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluoxetine,0.009009009009009009,0.0011312217194570137,0.007877787289551996
dipyridamole,0.02702702702702703,0.019230769230769232,0.007796257796257797
ibuprofen,0.0045045045045045045,0.010180995475113122,-0.005676490970608618
sulfonamide_antibiotics,0.009009009009009009,0.003393665158371041,0.005615343850637968
simvastatin_zocor,0.10810810810810811,0.10294117647058823,0.005166931637519884
verapamil,0.0045045045045045045,0.00904977375565611,-0.004545269251151605
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin_or_rifampicin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
carbamazepine_tegretol,0.009009009009009009,0.004524886877828055,0.004484122131180954
amiodarone_cordarone,0.04504504504504504,0.048642533936651584,-0.0035974888916065415
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
macrolide_antibiotics,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
paroxetin,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
aspirin,0.1981981981981982,0.19683257918552036,0.0013656190126778434
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
carbamazepine,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
rosuvastatin_crestor,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
st.johns_wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
