Feature,Hard,Easy,Diff
weight_kg,86.32403846153845,76.08622327790974,10.237815183628712
height_cm,171.1697604790419,167.91245590230665,3.2573045767352653
age_decade,5.5225225225225225,6.079726651480637,-0.5572041289581149
current_smoker,0.2677165354330709,0.10721649484536082,0.16050004058771006
valve_replacement,0.168,0.2661290322580645,-0.09812903225806449
acetaminophen_or_paracetamol_tylenol,0.26136363636363635,0.18005540166204986,0.08130823470158649
cyp2c9,1.8626126126126126,1.7975113122171946,0.06510130039541795
congestive_heart_failure_and_or_cardiomyopathy,0.24060150375939848,0.1757188498402556,0.06488265391914289
atorvastatin_lipitor,0.1414141414141414,0.08607594936708861,0.0553381920470528
hypertension,0.24774774774774774,0.19909502262443438,0.04865272512331337
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
pravastatin_pravachol,0.06,0.020512820512820513,0.03948717948717949
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
diabetes,0.14414414414414414,0.11312217194570136,0.031021972198442785
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
amiodarone,0.06306306306306306,0.08823529411764706,-0.025172231054584007
phenytoin_dilantin,0.030303030303030304,0.005141388174807198,0.025161642128223107
lovastatin_mevacor,0.03,0.010282776349614395,0.019717223650385605
fluvastatin_lescol,0.020202020202020204,0.002570694087403599,0.017631326114616604
anti_fungal_azoles,0.02,0.002570694087403599,0.0174293059125964
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
dipyridamole,0.03153153153153153,0.01809954751131222,0.01343198402021931
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
carbamazepine_tegretol,0.020202020202020204,0.01020408163265306,0.009997938569367143
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.010101010101010102,0.002570694087403599,0.0075303160136065035
simvastatin_zocor,0.15789473684210525,0.15066225165562913,0.007232485186476123
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
rifampin_or_rifampicin,0.0,0.002570694087403599,-0.002570694087403599
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
rosuvastatin_crestor,0.01,0.007712082262210797,0.0022879177377892034
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
aspirin,0.1981981981981982,0.19683257918552036,0.0013656190126778434
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
amiodarone_cordarone,0.06666666666666667,0.06614173228346457,0.0005249343832020997
sulfonamide_antibiotics,0.010101010101010102,0.010282776349614395,-0.00018176624860429327
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
