Feature,Hard,Easy,Diff
weight_kg,85.15943396226415,76.0760663507109,9.083367611553243
height_cm,170.9817365269461,167.7839945280438,3.197741998902302
bmi,29.72406034244989,26.76984345733258,2.954216885117308
age_decade,5.36936936936937,5.9852607709750565,-0.6158914016056869
acetaminophen_or_paracetamol_tylenol,0.30851063829787234,0.1933534743202417,0.11515716397763065
current_smoker,0.2462686567164179,0.14492753623188406,0.10134112048453384
cyp2c9,1.8468468468468469,1.782239819004525,0.06460702784232186
azole,0.1036036036036036,0.04072398190045249,0.06287962170315112
diabetes,0.22580645161290322,0.17094017094017094,0.054866280672732276
valve_replacement,0.22137404580152673,0.27197346600331673,-0.05059942020179001
anti_fungal_azoles,0.038834951456310676,0.005434782608695652,0.03340016884761503
hypertension,0.23873873873873874,0.20588235294117646,0.03285638579756228
aspirin,0.2546583850931677,0.22279792746113988,0.0318604576320278
amiodarone,0.05405405405405406,0.083710407239819,-0.02965635318576494
phenytoin,0.02702702702702703,0.005656108597285068,0.02137091842974196
cancer,0.06306306306306306,0.042986425339366516,0.02007663772369654
simvastatin,0.14414414414414414,0.12669683257918551,0.01744731156495863
congestive_heart_failure_and_or_cardiomyopathy,0.15827338129496402,0.17455138662316477,-0.016278005328200756
carbamazepine,0.018018018018018018,0.0022624434389140274,0.015755574579103992
stroke,0.03153153153153153,0.04524886877828054,-0.013717337246749013
sulfonamide_antibiotics,0.0,0.005434782608695652,-0.005434782608695652
fluconazole,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
macrolide_antibiotics,0.0,0.002717391304347826,-0.002717391304347826
ibuprofen,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
heart_valve_replacement,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
