Feature,Hard,Easy,Diff
weight_kg,86.06889952153111,76.13745541022593,9.931444111305183
height_cm,171.69345454545453,167.80434370771314,3.8891108377413843
bmi,29.500313506843646,26.99846937891871,2.5018441279249366
age_decade,5.481981981981982,6.08997722095672,-0.6079952389747376
current_smoker,0.26153846153846155,0.1078838174273859,0.15365464411107566
valve_replacement,0.17054263565891473,0.2662337662337662,-0.09569113057485149
acetaminophen_or_paracetamol_tylenol,0.26666666666666666,0.17827298050139276,0.0883936861652739
congestive_heart_failure_and_or_cardiomyopathy,0.25735294117647056,0.17174959871589085,0.08560334246057971
hypertension,0.26126126126126126,0.19570135746606335,0.06555990379519791
azole,0.0945945945945946,0.04072398190045249,0.05387061269414211
cyp2c9,1.8490990990990992,1.8009049773755657,0.048194121723533545
diabetes,0.15315315315315314,0.11085972850678733,0.04229342464636582
pravastatin_pravachol,0.06,0.020512820512820513,0.03948717948717949
simvastatin_zocor,0.18064516129032257,0.1447587354409318,0.03588642584939078
lovastatin_mevacor,0.04,0.007712082262210797,0.032287917737789204
atorvastatin_lipitor,0.12121212121212122,0.09113924050632911,0.0300728807057921
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
phenytoin_dilantin,0.030303030303030304,0.005141388174807198,0.025161642128223107
cancer,0.07657657657657657,0.05203619909502263,0.024540377481553945
carbamazepine_tegretol,0.030303030303030304,0.007653061224489796,0.022649969078540506
simvastatin,0.1036036036036036,0.1255656108597285,-0.021962007256124905
amiodarone,0.06756756756756757,0.08710407239819004,-0.01953650483062247
fluvastatin_lescol,0.020202020202020204,0.002570694087403599,0.017631326114616604
anti_fungal_azoles,0.02,0.002570694087403599,0.0174293059125964
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
dipyridamole,0.03153153153153153,0.01809954751131222,0.01343198402021931
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
sulfonamide_antibiotics,0.020202020202020204,0.007712082262210797,0.012489937939809407
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.010101010101010102,0.002570694087403599,0.0075303160136065035
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
amiodarone_cordarone,0.07100591715976332,0.06497622820919176,0.006029688950571557
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
aspirin,0.19369369369369369,0.19796380090497737,-0.00427010721128368
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
rifampin_or_rifampicin,0.0,0.002570694087403599,-0.002570694087403599
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
rosuvastatin_crestor,0.01,0.007712082262210797,0.0022879177377892034
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
heart_valve_replacement,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
