Feature,Hard,Easy,Diff
height_cm,129.04608108108107,139.91923076923078,-10.87314968814971
weight_kg,80.67117117117117,72.52375565610859,8.147415515062576
age_decade,5.518018018018018,6.039592760180995,-0.5215747421629775
cyp2c9_score,0.2882882882882883,0.40158371040723984,-0.11329542211895155
current_smoker,0.15765765765765766,0.057692307692307696,0.09996534996534996
valve_replacement,0.11711711711711711,0.18099547511312217,-0.06387835799600505
simvastatin,0.09009009009009009,0.12895927601809956,-0.038869185928009475
hypertension,0.23873873873873874,0.20135746606334842,0.03738127267539032
diabetes,0.14864864864864866,0.11199095022624435,0.03665769842240431
azole,0.07657657657657657,0.04524886877828054,0.03132770779829603
congestive_heart_failure_and_or_cardiomyopathy,0.14864864864864866,0.12330316742081449,0.02534548122783417
acetaminophen_or_paracetamol_tylenol,0.0990990990990991,0.0746606334841629,0.024438465614936206
enoxaparin,0.03153153153153153,0.010180995475113122,0.021350536056418408
amiodarone,0.06756756756756757,0.08710407239819004,-0.01953650483062247
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
atorvastatin_lipitor,0.05855855855855856,0.03959276018099547,0.018965798377563084
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
pravastatin_pravachol,0.02702702702702703,0.00904977375565611,0.017977253271370917
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
lovastatin_mevacor,0.018018018018018018,0.003393665158371041,0.014624352859646977
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
phenytoin_dilantin,0.013513513513513514,0.0022624434389140274,0.011251070074599486
phenytoin,0.013513513513513514,0.003393665158371041,0.010119848355142473
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluoxetine,0.009009009009009009,0.0011312217194570137,0.007877787289551996
antifungal_azoles,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluvastatin_lescol,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
amiodarone_cordarone,0.05405405405405406,0.04638009049773756,0.007673963556316499
aspirin,0.20270270270270271,0.19570135746606335,0.007001345236639367
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
verapamil,0.0045045045045045045,0.00904977375565611,-0.004545269251151605
rifampin_or_rifampicin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
carbamazepine_tegretol,0.009009009009009009,0.004524886877828055,0.004484122131180954
anemia,0.0,0.003393665158371041,-0.003393665158371041
macrolide_antibiotics,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
rosuvastatin_crestor,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
simvastatin_zocor,0.1036036036036036,0.10407239819004525,-0.0004687945864416537
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
sulfonamide_antibiotics,0.0045045045045045045,0.004524886877828055,-2.0382373323550237e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
st.johns_wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
