Feature,Hard,Easy,Diff
squared_weight,8222.086442307695,6218.206270783848,2003.880171523847
weight_kg,86.52115384615384,76.03752969121139,10.483624154942447
height_cm,171.17886904761903,167.9059510869565,3.2729179606625394
bmi,29.593365769211612,26.9671983041246,2.6261674650870113
age_decade,5.54054054054054,6.075170842824601,-0.5346303022840608
is_elderly,0.2927927927927928,0.4468325791855204,-0.15403978639272758
current_smoker,0.25196850393700787,0.11134020618556702,0.14062829775144087
vkorc1_missing,0.38288288288288286,0.25565610859728505,0.1272267742855978
is_overweight,0.2972972972972973,0.18552036199095023,0.11177693530634708
acetaminophen_or_paracetamol_tylenol,0.2619047619047619,0.18082191780821918,0.08108284409654273
valve_replacement,0.18548387096774194,0.26247987117552335,-0.07699600020778141
congestive_heart_failure_and_or_cardiomyopathy,0.2462686567164179,0.1744,0.0718686567164179
cyp2c9,1.867117117117117,1.7963800904977376,0.07073702661937942
azole,0.08558558558558559,0.042986425339366516,0.04259916024621907
pravastatin_pravachol,0.06060606060606061,0.020460358056265986,0.04014570254979462
diabetes,0.14864864864864866,0.11199095022624435,0.03665769842240431
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
hypertension,0.23423423423423423,0.20248868778280543,0.0317455464514288
atorvastatin_lipitor,0.12244897959183673,0.09090909090909091,0.03153988868274582
phenytoin_dilantin,0.030612244897959183,0.005128205128205128,0.025484039769754056
dipyridamole,0.04054054054054054,0.01583710407239819,0.024703436468142353
amiodarone_cordarone,0.08484848484848485,0.06141732283464567,0.023431162013839185
simvastatin_zocor,0.16993464052287582,0.14759535655058043,0.0223392839722954
enoxaparin,0.03153153153153153,0.010180995475113122,0.021350536056418408
lovastatin_mevacor,0.030303030303030304,0.010256410256410256,0.02004662004662005
fluvastatin_lescol,0.02040816326530612,0.002564102564102564,0.017844060701203555
anti_fungal_azoles,0.020202020202020204,0.002564102564102564,0.01763791763791764
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
carbamazepine_tegretol,0.02040816326530612,0.010178117048346057,0.010230046216960064
phenytoin,0.013513513513513514,0.003393665158371041,0.010119848355142473
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
amiodarone,0.07657657657657657,0.08484162895927602,-0.00826505238269945
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.01020408163265306,0.002564102564102564,0.007639979068550497
aspirin,0.20270270270270271,0.19570135746606335,0.007001345236639367
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
rifampin_or_rifampicin,0.0,0.002564102564102564,-0.002564102564102564
atorvastatin,0.036036036036036036,0.038461538461538464,-0.002425502425502428
rosuvastatin_crestor,0.010101010101010102,0.007692307692307693,0.002408702408702409
paroxetin,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.01020408163265306,0.010256410256410256,-5.232862375719599e-05
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
