Feature,Hard,Easy,Diff
squared_weight,8106.051722488039,6244.6597502972645,1861.3919721907741
weight_kg,86.02057416267941,76.14946492271106,9.871109239968348
height_cm,171.00794117647058,167.936621253406,3.0713199230645785
bmi,29.401069507583845,27.000752245825435,2.40031726175841
age_decade,5.6441441441441444,6.048974943052392,-0.4048307989082476
vkorc1_missing,0.3918918918918919,0.25339366515837103,0.13849822673352086
is_elderly,0.3063063063063063,0.4434389140271493,-0.137132607720843
current_smoker,0.2462686567164179,0.1108786610878661,0.1353899956285518
is_overweight,0.2882882882882883,0.18778280542986425,0.10050548285842403
acetaminophen_or_paracetamol_tylenol,0.2696629213483146,0.17777777777777778,0.09188514357053681
valve_replacement,0.18461538461538463,0.2634146341463415,-0.07879924953095685
hypertension,0.26576576576576577,0.19457013574660634,0.07119563001915943
cyp2c9,1.864864864864865,1.7969457013574661,0.0679191635073988
congestive_heart_failure_and_or_cardiomyopathy,0.23741007194244604,0.17580645161290323,0.06160362032954281
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
diabetes,0.15765765765765766,0.10972850678733032,0.04792915087032734
atorvastatin_lipitor,0.1262135922330097,0.08951406649616368,0.036699525736846025
aspirin,0.22522522522522523,0.19004524886877827,0.03517997635644696
simvastatin_zocor,0.17791411042944785,0.14502529510961215,0.0328888153198357
pravastatin_pravachol,0.04854368932038835,0.023255813953488372,0.025287875366899977
phenytoin_dilantin,0.029411764705882353,0.0051813471502590676,0.024230417555623284
phenytoin,0.02252252252252252,0.0011312217194570137,0.02139130080306551
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
lovastatin_mevacor,0.02912621359223301,0.010362694300518135,0.018763519291714874
fluvastatin_lescol,0.0196078431372549,0.0025906735751295338,0.01701716956212537
anti_fungal_azoles,0.019417475728155338,0.0025906735751295338,0.016826802153025806
enoxaparin,0.02702702702702703,0.011312217194570135,0.01571480983245689
rosuvastatin_crestor,0.019417475728155338,0.0051813471502590676,0.01423612857789627
amiodarone,0.07207207207207207,0.08597285067873303,-0.01390077860666096
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
simvastatin,0.11261261261261261,0.12330316742081449,-0.010690554808201871
carbamazepine_tegretol,0.0196078431372549,0.010282776349614395,0.009325066787640507
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
atorvastatin,0.03153153153153153,0.03959276018099547,-0.008061228649463945
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
cancer,0.06306306306306306,0.05542986425339366,0.007633198809669395
macrolide_antibiotics,0.00980392156862745,0.0025906735751295338,0.007213247993497917
fluvastatin,0.009009009009009009,0.0022624434389140274,0.006746565570094981
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
ibuprofen,0.0045045045045045045,0.010180995475113122,-0.005676490970608618
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
rosuvastatin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
rifampin_or_rifampicin,0.0,0.0025906735751295338,-0.0025906735751295338
amiodarone_cordarone,0.06818181818181818,0.06570512820512821,0.002476689976689969
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.00980392156862745,0.010362694300518135,-0.0005587727318906843
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
