Feature,Hard,Easy,Diff
squared_weight,8091.528365384616,6250.4581472684085,1841.0702181162078
weight_kg,85.7576923076923,76.22612826603324,9.531564041659053
height_cm,171.09804733727808,167.92008163265308,3.177965704624995
bmi,29.28585320220598,27.0335283296833,2.2523248725226814
age_decade,5.558558558558558,6.070615034168565,-0.5120564756100068
current_smoker,0.2727272727272727,0.10416666666666667,0.16856060606060602
is_elderly,0.28378378378378377,0.4490950226244344,-0.16531123884065063
vkorc1_missing,0.3783783783783784,0.25678733031674206,0.12159104806163634
is_overweight,0.27927927927927926,0.19004524886877827,0.08923403041050099
congestive_heart_failure_and_or_cardiomyopathy,0.25,0.17335473515248795,0.07664526484751205
acetaminophen_or_paracetamol_tylenol,0.25555555555555554,0.181058495821727,0.07449705973382853
valve_replacement,0.19083969465648856,0.26221498371335505,-0.07137528905686649
cyp2c9,1.8626126126126126,1.7975113122171946,0.06510130039541795
hypertension,0.25225225225225223,0.19796380090497737,0.05428845134727486
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
atorvastatin_lipitor,0.13131313131313133,0.08860759493670886,0.042705536376422465
pravastatin_pravachol,0.06,0.020512820512820513,0.03948717948717949
lovastatin_mevacor,0.04,0.007712082262210797,0.032287917737789204
diabetes,0.14414414414414414,0.11312217194570136,0.031021972198442785
simvastatin,0.0990990990990991,0.12669683257918551,-0.027597733480086414
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
amiodarone,0.06306306306306306,0.08823529411764706,-0.025172231054584007
phenytoin_dilantin,0.030303030303030304,0.005141388174807198,0.025161642128223107
aspirin,0.21621621621621623,0.19230769230769232,0.02390852390852391
carbamazepine_tegretol,0.03,0.0076726342710997444,0.022327365728900254
phenytoin,0.02252252252252252,0.0011312217194570137,0.02139130080306551
fluvastatin_lescol,0.020202020202020204,0.002570694087403599,0.017631326114616604
anti_fungal_azoles,0.02,0.002570694087403599,0.0174293059125964
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
fluvastatin,0.013513513513513514,0.0011312217194570137,0.012382291794056501
hepatitis,0.018018018018018018,0.006787330316742082,0.011230687701275936
rifampin_or_rifampicin,0.010101010101010102,0.0,0.010101010101010102
atorvastatin,0.04504504504504504,0.03619909502262444,0.008845950022420605
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
dipyridamole,0.02702702702702703,0.019230769230769232,0.007796257796257797
macrolide_antibiotics,0.010101010101010102,0.002570694087403599,0.0075303160136065035
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
simvastatin_zocor,0.15723270440251572,0.1507537688442211,0.006478935558294624
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
rosuvastatin_crestor,0.01,0.007712082262210797,0.0022879177377892034
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
amiodarone_cordarone,0.0650887573964497,0.06656101426307448,-0.001472256866624777
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.010101010101010102,0.010282776349614395,-0.00018176624860429327
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
