Feature,Hard,Easy,Diff
weight_kg,85.72403846153846,76.23444180522566,9.489596656312798
height_cm,171.29398809523806,167.8796739130435,3.4143141821945733
bmi,29.259807077723814,27.04248856964511,2.217318508078705
age_decade,5.554054054054054,6.071753986332574,-0.5176999322785196
current_smoker,0.26515151515151514,0.10625,0.15890151515151513
valve_replacement,0.19083969465648856,0.26221498371335505,-0.07137528905686649
acetaminophen_or_paracetamol_tylenol,0.25274725274725274,0.18156424581005587,0.07118300693719687
congestive_heart_failure_and_or_cardiomyopathy,0.24087591240875914,0.1752411575562701,0.06563475485248904
cyp2c9,1.8536036036036037,1.7997737556561086,0.05382984794749501
hypertension,0.24324324324324326,0.2002262443438914,0.043016998899351844
azole,0.08558558558558559,0.042986425339366516,0.04259916024621907
diabetes,0.15315315315315314,0.11085972850678733,0.04229342464636582
atorvastatin_lipitor,0.13,0.08883248730964467,0.04116751269035533
pravastatin_pravachol,0.0594059405940594,0.02056555269922879,0.038840387894830616
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
lovastatin_mevacor,0.039603960396039604,0.007731958762886598,0.031872001633153006
phenytoin_dilantin,0.03,0.005154639175257732,0.024845360824742268
enoxaparin,0.03153153153153153,0.010180995475113122,0.021350536056418408
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
aspirin,0.21171171171171171,0.19343891402714933,0.018272797684562386
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
fluvastatin_lescol,0.02,0.002577319587628866,0.017422680412371133
anti_fungal_azoles,0.019801980198019802,0.002577319587628866,0.017224660610390935
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
lovastatin,0.018018018018018018,0.003393665158371041,0.014624352859646977
amiodarone,0.07207207207207207,0.08597285067873303,-0.01390077860666096
amiodarone_cordarone,0.07692307692307693,0.06339144215530904,0.013531634767767892
rifampin_or_rifampicin,0.01,0.0,0.01
carbamazepine_tegretol,0.019801980198019802,0.010256410256410256,0.009545569941609546
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
dipyridamole,0.02702702702702703,0.019230769230769232,0.007796257796257797
macrolide_antibiotics,0.01,0.002577319587628866,0.007422680412371135
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
paroxetin,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin_crestor,0.009900990099009901,0.007731958762886598,0.002169031336123303
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.01,0.010309278350515464,-0.0003092783505154635
simvastatin_zocor,0.1518987341772152,0.15217391304347827,-0.0002751788662630761
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
heart_valve_replacement,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
