Feature,Hard,Easy,Diff
weight_kg,86.7604761904762,75.9527380952381,10.807738095238093
height_cm,171.27684210526314,167.86969986357437,3.407142241688774
bmi,29.794716318966422,26.909910673967914,2.884805644998508
age_decade,5.472972972972973,6.092255125284738,-0.6192821523117651
current_smoker,0.2878787878787879,0.1,0.1878787878787879
valve_replacement,0.17692307692307693,0.26504065040650404,-0.08811757348342711
acetaminophen_or_paracetamol_tylenol,0.25274725274725274,0.18156424581005587,0.07118300693719687
congestive_heart_failure_and_or_cardiomyopathy,0.2391304347826087,0.17552334943639292,0.06360708534621579
diabetes,0.226890756302521,0.16865079365079366,0.058239962651727345
cyp2c9,1.8558558558558558,1.7992081447963801,0.056647711059475636
hypertension,0.25225225225225223,0.19796380090497737,0.05428845134727486
aspirin,0.28205128205128205,0.2327150084317032,0.049336273619578846
is_inducer,0.05405405405405406,0.005656108597285068,0.04839794545676899
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
phenytoin,0.03153153153153153,0.0022624434389140274,0.029269088092617503
carbamazepine,0.02252252252252252,0.0022624434389140274,0.020260079083608495
amiodarone,0.07207207207207207,0.09049773755656108,-0.018425665484489012
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
anti_fungal_azoles,0.0196078431372549,0.002583979328165375,0.017023863809089528
simvastatin,0.12612612612612611,0.1425339366515837,-0.01640781052545759
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
sulfonamide_antibiotics,0.019801980198019802,0.007751937984496124,0.012050042213523678
hepatitis,0.018018018018018018,0.006787330316742082,0.011230687701275936
simvastatin_zocor,0.14556962025316456,0.15384615384615385,-0.0082765335929893
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.009900990099009901,0.002583979328165375,0.007317010770844526
is_inhibitor,0.09009009009009009,0.09615384615384616,-0.006063756063756073
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
cyp_inhibitors,0.16891891891891891,0.166289592760181,0.002629326158737927
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
amiodarone_cordarone,0.06626506024096386,0.06624605678233439,1.900345862947128e-05
heart_valve_replacement,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
