Feature,Hard,Easy,Diff
weight_kg,86.28317307692306,76.09631828978623,10.186854787136838
height_cm,171.3737125748503,167.86624151967436,3.5074710551759267
bmi,29.503454070026603,26.99093011577956,2.512523954247044
age_decade,5.518018018018018,6.080865603644647,-0.5628475856266295
current_smoker,0.26717557251908397,0.10602910602910603,0.16114646648997794
valve_replacement,0.17692307692307693,0.26504065040650404,-0.08811757348342711
acetaminophen_or_paracetamol_tylenol,0.26373626373626374,0.1787709497206704,0.08496531401559335
congestive_heart_failure_and_or_cardiomyopathy,0.24817518248175183,0.17363344051446947,0.07454174196728236
cyp2c9,1.8581081081081081,1.7986425339366516,0.05946557417145648
hypertension,0.25225225225225223,0.19796380090497737,0.05428845134727486
atorvastatin_lipitor,0.14,0.08629441624365482,0.053705583756345196
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
simvastatin,0.09009009009009009,0.12895927601809956,-0.038869185928009475
pravastatin_pravachol,0.0594059405940594,0.02056555269922879,0.038840387894830616
diabetes,0.14864864864864866,0.11199095022624435,0.03665769842240431
amiodarone,0.06306306306306306,0.08823529411764706,-0.025172231054584007
phenytoin_dilantin,0.03,0.005154639175257732,0.024845360824742268
aspirin,0.21621621621621623,0.19230769230769232,0.02390852390852391
phenytoin,0.02252252252252252,0.0011312217194570137,0.02139130080306551
enoxaparin,0.03153153153153153,0.010180995475113122,0.021350536056418408
lovastatin_mevacor,0.0297029702970297,0.010309278350515464,0.01939369194651424
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
fluvastatin_lescol,0.02,0.002577319587628866,0.017422680412371133
anti_fungal_azoles,0.019801980198019802,0.002577319587628866,0.017224660610390935
dipyridamole,0.03153153153153153,0.01809954751131222,0.01343198402021931
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
rifampin_or_rifampicin,0.01,0.0,0.01
carbamazepine_tegretol,0.02,0.010230179028132993,0.009769820971867007
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.01,0.002577319587628866,0.007422680412371135
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
simvastatin_zocor,0.15483870967741936,0.15141430948419302,0.0034244001932263457
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin_crestor,0.009900990099009901,0.007731958762886598,0.002169031336123303
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
amiodarone_cordarone,0.0658682634730539,0.06635071090047394,-0.00048244742742004076
sulfonamide_antibiotics,0.01,0.010309278350515464,-0.0003092783505154635
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
heart_valve_replacement,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
