Feature,Hard,Easy,Diff
weight_kg,80.85045045045045,72.47873303167421,8.371717418776242
height_cm,131.48873873873873,139.3058031674208,-7.817064428682073
age_decade,5.554054054054054,6.030542986425339,-0.47648893237128487
vkorc1_missing,0.3963963963963964,0.252262443438914,0.14413395295748238
current_smoker,0.15765765765765766,0.057692307692307696,0.09996534996534996
valve_replacement,0.11261261261261261,0.18212669683257918,-0.06951408421996656
cyp2c9,1.864864864864865,1.7969457013574661,0.0679191635073988
hypertension,0.24774774774774774,0.19909502262443438,0.04865272512331337
amiodarone,0.04504504504504504,0.09276018099547512,-0.047715135950430074
simvastatin,0.08558558558558559,0.13009049773755657,-0.044504912151970985
azole,0.08108108108108109,0.04411764705882353,0.03696343402225755
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
diabetes,0.13963963963963963,0.11425339366515837,0.02538624597448126
amiodarone_cordarone,0.03153153153153153,0.05203619909502263,-0.020504667563491098
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
atorvastatin_lipitor,0.05855855855855856,0.03959276018099547,0.018965798377563084
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
pravastatin_pravachol,0.02702702702702703,0.00904977375565611,0.017977253271370917
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
carbamazepine_tegretol,0.018018018018018018,0.0022624434389140274,0.015755574579103992
congestive_heart_failure_and_or_cardiomyopathy,0.13963963963963963,0.1255656108597285,0.014074028779911124
acetaminophen_or_paracetamol_tylenol,0.09009009009009009,0.07692307692307693,0.013167013167013158
fluvastatin,0.013513513513513514,0.0011312217194570137,0.012382291794056501
phenytoin_dilantin,0.013513513513513514,0.0022624434389140274,0.011251070074599486
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
anti-fungal_azoles,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluvastatin_lescol,0.009009009009009009,0.0011312217194570137,0.007877787289551996
aspirin,0.20270270270270271,0.19570135746606335,0.007001345236639367
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
ibuprofen,0.0045045045045045045,0.010180995475113122,-0.005676490970608618
sulfonamide_antibiotics,0.009009009009009009,0.003393665158371041,0.005615343850637968
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
rifampin_or_rifampicin,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
macrolide_antibiotics,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
lovastatin_mevacor,0.009009009009009009,0.005656108597285068,0.003352900411723941
lovastatin,0.009009009009009009,0.005656108597285068,0.003352900411723941
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
rosuvastatin_crestor,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
simvastatin_zocor,0.1036036036036036,0.10407239819004525,-0.0004687945864416537
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
st.johns_wort,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cyp2c9_missing,0.0,0.0,0.0
