Feature,Hard,Easy,Diff
weight_kg,85.66650943396228,75.94869668246446,9.717812751497817
height_cm,171.28827380952382,167.70906849315068,3.579205316373134
bmi,29.742587555733643,26.765587550017056,2.9770000057165866
age_decade,5.306306306306307,6.001133786848072,-0.6948274805417656
acetaminophen_or_paracetamol_tylenol,0.30526315789473685,0.19393939393939394,0.11132376395534291
current_smoker,0.2517985611510791,0.14225941422594143,0.10953914692513769
valve_replacement,0.19696969696969696,0.27740863787375414,-0.08043894090405718
azole,0.11261261261261261,0.038461538461538464,0.07415107415107415
diabetes,0.2204724409448819,0.17204301075268819,0.0484294301921937
cyp2c9,1.8310810810810811,1.7861990950226245,0.04488198605845661
simvastatin,0.16216216216216217,0.12217194570135746,0.03999021646080471
hypertension,0.23873873873873874,0.20588235294117646,0.03285638579756228
cancer,0.07207207207207207,0.04072398190045249,0.03134809017161958
phenytoin,0.03153153153153153,0.004524886877828055,0.027006644653703473
anti_fungal_azoles,0.02857142857142857,0.00819672131147541,0.020374707259953162
carbamazepine,0.013513513513513514,0.003393665158371041,0.010119848355142473
congestive_heart_failure_and_or_cardiomyopathy,0.1773049645390071,0.1702127659574468,0.007092198581560294
aspirin,0.2345679012345679,0.22837370242214533,0.006194198812422558
sulfonamide_antibiotics,0.0,0.00546448087431694,-0.00546448087431694
fluconazole,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
ibuprofen,0.009009009009009009,0.005656108597285068,0.003352900411723941
macrolide_antibiotics,0.0,0.00273224043715847,-0.00273224043715847
stroke,0.04054054054054054,0.042986425339366516,-0.002445884798825973
amiodarone,0.07657657657657657,0.07805429864253394,-0.0014777220659573653
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
heart_valve_replacement,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
