Feature,Hard,Easy,Diff
weight_kg,86.27451923076923,76.09845605700713,10.176063173762103
height_cm,171.3310714285714,167.87120923913042,3.459862189440969
bmi,29.471665616028908,26.994668242941493,2.476997373087414
age_decade,5.5675675675675675,6.068337129840547,-0.5007695622729793
current_smoker,0.2578125,0.10950413223140495,0.14830836776859505
acetaminophen_or_paracetamol_tylenol,0.27472527472527475,0.17597765363128492,0.09874762109398982
valve_replacement,0.183206106870229,0.26384364820846906,-0.08063754133824005
congestive_heart_failure_and_or_cardiomyopathy,0.24817518248175183,0.17363344051446947,0.07454174196728236
atorvastatin_lipitor,0.15,0.08375634517766498,0.06624365482233502
cyp2c9,1.8626126126126126,1.7975113122171946,0.06510130039541795
hypertension,0.25675675675675674,0.19683257918552036,0.05992417757123639
azole,0.0945945945945946,0.04072398190045249,0.05387061269414211
pravastatin_pravachol,0.0594059405940594,0.02056555269922879,0.038840387894830616
diabetes,0.14864864864864866,0.11199095022624435,0.03665769842240431
simvastatin,0.0945945945945946,0.12782805429864252,-0.033233459704047924
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
amiodarone,0.06306306306306306,0.08823529411764706,-0.025172231054584007
phenytoin_dilantin,0.03,0.005154639175257732,0.024845360824742268
lovastatin_mevacor,0.0297029702970297,0.010309278350515464,0.01939369194651424
aspirin,0.21171171171171171,0.19343891402714933,0.018272797684562386
fluvastatin_lescol,0.02,0.002577319587628866,0.017422680412371133
anti_fungal_azoles,0.019801980198019802,0.002577319587628866,0.017224660610390935
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
atorvastatin,0.04954954954954955,0.03506787330316742,0.014481676246382129
dipyridamole,0.03153153153153153,0.01809954751131222,0.01343198402021931
cancer,0.06756756756756757,0.05429864253393665,0.013268925033630918
stroke,0.036036036036036036,0.048642533936651584,-0.012606497900615549
carbamazepine_tegretol,0.02,0.010230179028132993,0.009769820971867007
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluoxetine,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.01,0.002577319587628866,0.007422680412371135
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
hepatitis,0.013513513513513514,0.007918552036199095,0.00559496147731442
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
simvastatin_zocor,0.15483870967741936,0.15141430948419302,0.0034244001932263457
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
rifampin_or_rifampicin,0.0,0.002577319587628866,-0.002577319587628866
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
rosuvastatin_crestor,0.009900990099009901,0.007731958762886598,0.002169031336123303
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
rifampin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
fluvastatin,0.0045045045045045045,0.003393665158371041,0.0011108393461334637
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
amiodarone_cordarone,0.0658682634730539,0.06635071090047394,-0.00048244742742004076
sulfonamide_antibiotics,0.01,0.010309278350515464,-0.0003092783505154635
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
