Feature,Hard,Easy,Diff
squared_weight,8192.530904761905,6220.824011904761,1971.7068928571434
weight_kg,86.2347619047619,76.08416666666666,10.150595238095235
height_cm,171.4566265060241,167.85234417344174,3.6042823325823576
bmi,29.583107994364692,26.973084154589056,2.6100238397756357
age_decade,5.493212669683258,6.08646188850967,-0.5932492188264122
is_elderly,0.2702702702702703,0.45248868778280543,-0.18221841751253515
current_smoker,0.2595419847328244,0.10810810810810811,0.1514338766247163
vkorc1_missing,0.4009009009009009,0.251131221719457,0.1497696791814439
is_overweight,0.2927927927927928,0.18665158371040724,0.10614120908238556
acetaminophen_or_paracetamol_tylenol,0.26373626373626374,0.1787709497206704,0.08496531401559335
congestive_heart_failure_and_or_cardiomyopathy,0.25,0.172859450726979,0.077140549273021
cyp2c9,1.867117117117117,1.7963800904977376,0.07073702661937942
valve_replacement,0.19548872180451127,0.26143790849673204,-0.06594918669222077
hypertension,0.25225225225225223,0.19796380090497737,0.05428845134727486
atorvastatin_lipitor,0.13861386138613863,0.08651399491094147,0.052099866475197154
azole,0.09009009009009009,0.0418552036199095,0.04823488647018059
diabetes,0.14414414414414414,0.11312217194570136,0.031021972198442785
amiodarone,0.05855855855855856,0.08936651583710407,-0.030807957278545517
simvastatin,0.0990990990990991,0.12669683257918551,-0.027597733480086414
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
pravastatin_pravachol,0.04950495049504951,0.02313624678663239,0.026368703708417117
phenytoin_dilantin,0.03,0.005154639175257732,0.024845360824742268
lovastatin_mevacor,0.0297029702970297,0.010309278350515464,0.01939369194651424
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
fluvastatin_lescol,0.02,0.002577319587628866,0.017422680412371133
anti_fungal_azoles,0.019801980198019802,0.002577319587628866,0.017224660610390935
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
dipyridamole,0.03153153153153153,0.01809954751131222,0.01343198402021931
aspirin,0.2072072072072072,0.19457013574660634,0.012637071460600863
rifampin_or_rifampicin,0.01,0.0,0.01
carbamazepine_tegretol,0.02,0.010230179028132993,0.009769820971867007
amiodarone_cordarone,0.058823529411764705,0.06825396825396825,-0.009430438842203542
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
simvastatin_zocor,0.1592356687898089,0.15025041736227046,0.008985251427538449
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.01,0.002577319587628866,0.007422680412371135
fluvastatin,0.009009009009009009,0.0022624434389140274,0.006746565570094981
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
fluoxetine,0.0045045045045045045,0.0022624434389140274,0.002242061065590477
rosuvastatin_crestor,0.009900990099009901,0.007731958762886598,0.002169031336123303
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.01,0.010309278350515464,-0.0003092783505154635
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
