Feature,Hard,Easy,Diff
weight_kg,85.20943396226416,76.06350710900475,9.145926853259411
bmi,29.799534597689846,26.748309171154308,3.051225426535538
height_cm,170.65994082840237,167.84982167352535,2.8101191548770146
age_decade,5.36936936936937,5.9852607709750565,-0.6158914016056869
current_smoker,0.26515151515151514,0.1402061855670103,0.12494532958450483
acetaminophen_or_paracetamol_tylenol,0.2978723404255319,0.19637462235649547,0.10149771806903643
azole,0.11261261261261261,0.038461538461538464,0.07415107415107415
valve_replacement,0.21374045801526717,0.2736318407960199,-0.059891382780752705
cyp2c9,1.837837837837838,1.784502262443439,0.053335575394398926
anti_fungal_azoles,0.0392156862745098,0.005420054200542005,0.033795632073967796
hypertension,0.23873873873873874,0.20588235294117646,0.03285638579756228
aspirin,0.2546583850931677,0.22279792746113988,0.0318604576320278
cancer,0.06756756756756757,0.0418552036199095,0.025712363947658072
simvastatin,0.14864864864864866,0.1255656108597285,0.023083037788920152
phenytoin,0.02702702702702703,0.005656108597285068,0.02137091842974196
diabetes,0.19672131147540983,0.17872340425531916,0.017997907220090675
amiodarone,0.06756756756756757,0.08031674208144797,-0.012749174513880399
carbamazepine,0.013513513513513514,0.003393665158371041,0.010119848355142473
stroke,0.036036036036036036,0.04411764705882353,-0.008081611022787497
congestive_heart_failure_and_or_cardiomyopathy,0.16546762589928057,0.1729200652528548,-0.007452439353574231
sulfonamide_antibiotics,0.0,0.005420054200542005,-0.005420054200542005
fluconazole,0.0045045045045045045,0.0,0.0045045045045045045
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
ibuprofen,0.009009009009009009,0.005656108597285068,0.003352900411723941
macrolide_antibiotics,0.0,0.0027100271002710027,-0.0027100271002710027
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
heart_valve_replacement,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
