Feature,Hard,Easy,Diff
weight_kg,86.12211538461537,76.13610451306413,9.986010871551244
height_cm,171.1642857142857,167.90927989130435,3.25500582298136
age_decade,5.54054054054054,6.075170842824601,-0.5346303022840608
current_smoker,0.26153846153846155,0.1078838174273859,0.15365464411107566
vkorc1_missing,0.38738738738738737,0.25452488687782804,0.13286250050955933
acetaminophen_or_paracetamol_tylenol,0.26666666666666666,0.17827298050139276,0.0883936861652739
atorvastatin_lipitor,0.15841584158415842,0.08142493638676845,0.07699090519738996
valve_replacement,0.19230769230769232,0.26178861788617885,-0.06948092557848654
cyp2c9,1.8626126126126126,1.7975113122171946,0.06510130039541795
congestive_heart_failure_and_or_cardiomyopathy,0.2391304347826087,0.17552334943639292,0.06360708534621579
hypertension,0.24774774774774774,0.19909502262443438,0.04865272512331337
azole,0.08558558558558559,0.042986425339366516,0.04259916024621907
simvastatin,0.09009009009009009,0.12895927601809956,-0.038869185928009475
pravastatin_pravachol,0.058823529411764705,0.020618556701030927,0.03820497271073378
diabetes,0.14414414414414414,0.11312217194570136,0.031021972198442785
amiodarone,0.05855855855855856,0.08936651583710407,-0.030807957278545517
enoxaparin,0.036036036036036036,0.00904977375565611,0.026986262280379925
phenytoin_dilantin,0.0297029702970297,0.00516795865633075,0.02453501164069895
lovastatin_mevacor,0.029411764705882353,0.0103359173126615,0.01907584739322085
dipyridamole,0.036036036036036036,0.016968325791855202,0.019067710244180833
cancer,0.07207207207207207,0.053167420814479636,0.018904651257592435
aspirin,0.21171171171171171,0.19343891402714933,0.018272797684562386
stroke,0.03153153153153153,0.049773755656108594,-0.018242224124577065
fluvastatin_lescol,0.019801980198019802,0.002583979328165375,0.01721800086985443
anti_fungal_azoles,0.0196078431372549,0.002583979328165375,0.017023863809089528
phenytoin,0.018018018018018018,0.0022624434389140274,0.015755574579103992
rifampin_or_rifampicin,0.009900990099009901,0.0,0.009900990099009901
carbamazepine_tegretol,0.019801980198019802,0.010256410256410256,0.009545569941609546
lovastatin,0.013513513513513514,0.004524886877828055,0.008988626635685459
amiodarone_cordarone,0.05917159763313609,0.06814580031695722,-0.008974202683821125
paroxetin,0.0,0.007918552036199095,-0.007918552036199095
fluoxetine,0.009009009009009009,0.0011312217194570137,0.007877787289551996
fluconazole,0.009009009009009009,0.0011312217194570137,0.007877787289551996
heparin,0.009009009009009009,0.0011312217194570137,0.007877787289551996
macrolide_antibiotics,0.009900990099009901,0.002583979328165375,0.007317010770844526
fluvastatin,0.009009009009009009,0.0022624434389140274,0.006746565570094981
carbamazepine,0.009009009009009009,0.0022624434389140274,0.006746565570094981
rifampin,0.0045045045045045045,0.0,0.0045045045045045045
erythromycin,0.0045045045045045045,0.0,0.0045045045045045045
malignancy,0.0045045045045045045,0.0,0.0045045045045045045
anemia,0.0,0.003393665158371041,-0.003393665158371041
ezetimibe,0.0045045045045045045,0.0011312217194570137,0.0033732827850474906
atorvastatin,0.04054054054054054,0.03733031674208145,0.0032102237984590956
clopidogrel,0.0045045045045045045,0.006787330316742082,-0.002282825812237577
simvastatin_zocor,0.15384615384615385,0.15166666666666667,0.002179487179487183
rosuvastatin_crestor,0.00980392156862745,0.007751937984496124,0.002051983584131327
rosuvastatin,0.0,0.0011312217194570137,-0.0011312217194570137
ciprofloxacin,0.0,0.0011312217194570137,-0.0011312217194570137
metronidazole,0.0,0.0011312217194570137,-0.0011312217194570137
verapamil,0.009009009009009009,0.007918552036199095,0.0010904569728099143
sulfonamide_antibiotics,0.009900990099009901,0.0103359173126615,-0.00043492721365159803
hepatitis,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
ibuprofen,0.009009009009009009,0.00904977375565611,-4.0764746647100475e-05
cerivastatin_baycol,0.0,0.0,0.0
abciximab,0.0,0.0,0.0
St.Johns Wort,0.0,0.0,0.0
duloxetine,0.0,0.0,0.0
alteplase,0.0,0.0,0.0
heart_failure,0.0,0.0,0.0
cirrhosis,0.0,0.0,0.0
liver_disease,0.0,0.0,0.0
pulmonary_embolism,0.0,0.0,0.0
deep_vein_thrombosis,0.0,0.0,0.0
atrial_fibrillation,0.0,0.0,0.0
chronic_kidney_disease,0.0,0.0,0.0
renal_failure,0.0,0.0,0.0
bleeding_disorder,0.0,0.0,0.0
